,en,ru,tr,vi,es,pt,it,id,fr,de,ar,zh,hi,ko,ja
72,WARNING!/Ad blocker detected!/Please disable it to use the full functionality of the game/20,"ВНИМАНИЕ!/Обнаружен блокировщик рекламы!/Пожалуйста отключите его, чтобы использовать весь функционал игры/20",UYARI!/Reklam engelleyici algılandı!/Oyunun tüm işlevlerini kullanmak için lütfen devre dışı bırakın/20,CẢNH BÁO!/Đã phát hiện trình chặn quảng cáo!/Vui lòng tắt nó để sử dụng đầy đủ chức năng của trò chơi/20,¡Advertencia!/Bloqueador de anuncios detectado!/Desactíelo para usar la funcionalidad completa del juego/20,AVISO!/Bloqueador de anúncios detectado!/Desative-o para usar todas as funcionalidades do jogo/20,ATTENZIONE!/Rilevato blocco degli annunci!/Disabilitalo per utilizzare tutte le funzionalità del gioco/20,PERINGATAN!/Pemblokir iklan terdeteksi!/Harap nonaktifkan untuk menggunakan fungsionalitas penuh game/20,ATTENTION !/Bloqueur de publicités détecté !/Veuillez le désactiver pour utiliser toutes les fonctionnalités du jeu/20,"WARNUNG!/Werbeblocker erkannt!/Bitte deaktivieren Sie ihn, um die volle Funktionalität des Spiels nutzen zu können/20",تم اكتشاف تحذير!/مانع الإعلان!/يرجى تعطيله لاستخدام الوظائف الكاملة للعبة/20,警告！/检测到广告拦截器！/请禁用它以使用游戏的全部功能/20,चेतावनी!/विज्ञापन अवरोधक का पता चला!/गेम की पूर्ण कार्यक्षमता का उपयोग करने के लिए इसे अक्षम करें/20,경고!/광고 차단기가 감지되었습니다!/게임의 전체 기능을 사용하려면 비활성화하세요/20,警告!/広告ブロッカーが検出されました!/ゲームの全機能を使用するには無効にしてください/20
73,Remove ads,Убрать рекламу,Reklamları kaldır,Xóa quảng cáo,Eliminar anuncios,Remover anúncios,Rimuovi annunci,Hilangkan iklan,Supprimez la pub,Anzeigen entfernen,ازالة الاعلانات,移除广告,विज्ञापन हटाएँ,광고를 제거하다,広告を削除
74,Watch/18,Смотреть/16,İzlemek/16,Xem/18,Mirar/18,Olhar/18,Guarda/18,Tonton/18,Regarder/18,Suchen/18,مشاهدة/18,观看/18,घड़ी/18,시계/18,ウォッチ/18
75,Open/18,Открыть/16,Açık/18,Mở/18,Abierto/18,Abrir/18,Aprire/18,Buka/18,Ouvrir/18,Offen/18,مفتوح/18,开放/18,खुला/18,열려 있는/16,オープン/18
76,Loading/16,Загрузка/16,Yükleme/16,Đang tải/16,Cargando/14,Carregamento/14,Caricamento/14,Memuat/16,Chargement/14,Laden/16,جاري التحميل/16,加载/16,लोडिंग/16,로딩/18,読み込み中/16
77,Buy/18,Купить/18,Satın al/18,Mua/18,Comprar/18,Compre/18,Acquista/18,Beli/18,Acheter/18,Kaufen/18,شراء/18,购买/18,खरीदें/18,구매/18,購入/18
78,♛ Get VIP status/18,♛ Получить VIP/18,♛ VIP statüsü al/18,♛ Nhận trạng thái VIP/18,♛ Obtener estado VIP/18,♛ Obtenha status VIP/18,♛ Ottieni stato VIP/18,♛ Dapatkan status VIP/18,♛ Obtenez le statut VIP/18,♛ VIP-Status erhalten/18,احصل على ♛ حالة VIP/18,获得VIP状态/18,♛ वीआईपी दर्जा प्राप्त करें/18,♛ VIP 상태 얻기/18,♛VIPステータスを取得/18
79,Remove ads/18,Отключить/18,Reklamları kaldır/18,Xóa quảng cáo/18,Eliminar anuncios/18,Remover anúncios/18,Rimuovi annunci/18,Hilangkan iklan/18,Supprimez la pub/18,Anzeigen entfernen/18,إزالة الإعلانات/18,删除广告/18,विज्ञापन हटाएँ/18,광고를 제거하다/18,広告を削除/18
80,Game difficulty/22,Сложность игры/22,Oyun Zorluğu/22,Khó khăn trong trò chơi/22,Dificultad del juego/22,Dificuldade de jogo/22,Difficoltà del gioco/22,Kesulitan permainan/22,Difficulté du jeu/22,Spielschwierigkeit/22,صعوبة اللعبة/22,游戏难度/22,खेल कठिनाई/22,게임 난이도/22,ゲームの難易度/22
81,Without rotation/14,Без поворота/14,Rotasyon olmadan/14,Không có vòng quay/14,Sin rotación/14,Sem rotação/14,Senza rotazione/14,Tanpa rotasi/14,Sans rotation/14,Ohne Drehung/14,بدون دوران/14,无旋转/14,रोटेशन के बिना/14,회전 없음/14,回転なし/14
82,With rotation/14,С поворотом/14,Rotasyon ile/14,Với vòng quay/14,Con rotación/14,Com rotação/14,Con rotazione/14,Dengan rotasi/14,Avec rotation/14,Mit Drehung/14,مع الدوران/14,带旋转/14,रोटेशन के साथ/14,회전 있음/14,回転あり/14
83,Form/14,Форма/14,Form/14,Hình thức/14,Formulario/14,Formulário/14,Modulo/14,Formulir/14,Formulaire/14,Formular/14,النموذج/14,表格/14,फॉर्म/14,양식/14,フォーム/14
84,Form 2/14,Форма 2/14,Form 2/14,Hình thức 2/14,Formulario 2/14,Formulário 2/14,Modulo 2/14,Formulir 2/14,Formulaire 2/14,Formular 2/14,النموذج 2/14,表格2/14,फॉर्म 2/14,양식 2/14,フォーム2/14
85,Time:/20,Время:/20,Zaman:/20,Thời gian:/18,Tiempo:/20,Tempo:/20,Tempo:/20,Waktu:/20,Temps :/20,Zeit:/20,الوقت:/20,时间：/20,समय:/20,시간 :/20,時間：/20
86,Reward:/20,Награда:/20,Ödül:/20,Phần thưởng:/18,Recompensa:/18,Recompensa:/18,Ricompensa:/18,Hadiah:/20,Récompense :/18,Belohnung:/18,الجائزة:/20,奖励：/20,इनाम:/20,보상 :/20,報酬：/20
87,START GAME/22,НАЧАТЬ ИГРУ/22,OYUNU BAŞLATMAK/18,BẮT ĐẦU TRÒ CHƠI/20,INICIAR JUEGO/22,COMECE O JOGO/20,INIZIA GIOCO/22,MULAI PERMAINAN/20,COMMENCER LE JEU/18,SPIEL BEGINNEN/22,ابدأ اللعبة/22,开始游戏/22,खेल शुरू करें/22,게임 시작/22,ゲーム開始/22
88,CONTINUE/22,ПРОДОЛЖИТЬ/22,DEVAM/22,TIẾP TỤC/22,CONTINUAR/22,CONTINUAR/22,CONTINUA/22,LANJUTKAN/22,CONTINUER/22,FORTFAHREN/22,تابع/22,继续/22,जारी रखें/22,계속/22,続行/22
89,Failed to connect to the server with images!/Please try to connect again or switch to offline mode/24,Неудалось подключиться к серверу с изображениями!/Попробуйте подключиться ещё раз или перейдите в оффлайн режим/24,Görüntülerle sunucuya bağlanılamadı!/Lütfen tekrar bağlanmayı deneyin veya çevrimdışı moda geçin/24,Không thể kết nối với máy chủ bằng hình ảnh!/Vui lòng thử kết nối lại hoặc chuyển sang chế độ tự trị/24,¡No se puede conectar al servidor con imágenes!/Intente conectarse nuevamente o cambiar al modo offline/24,Falha ao conectar ao servidor com imagens!/Tente conectar novamente ou mude para o modo offline/24,Impossibile connettersi al server con le immagini!/Prova a connettersi di nuovo o passa alla modalità offline/24,Gagal menyambung ke server dengan gambar!/Harap coba sambungkan lagi atau beralih ke mode luring/24,Échec de la connexion au serveur avec les images !/Veuillez réessayer de vous connecter ou passer en mode hors ligne/22,"Verbindung zum Server mit Bildern fehlgeschlagen!/Versuchen Sie erneut, eine Verbindung herzustellen, oder wechseln Sie in den Offline-Modus/20",فشل في الاتصال بالخادم مع الصور!/يرجى محاولة الاتصال مرة أخرى أو التبديل إلى وضع غير متصل/24,无法使用图像连接到服务器！/请尝试再次连接或切换到离线模式/24,छवियों के साथ सर्वर से कनेक्ट करने में विफल!/कृपया फिर से कनेक्ट करने का प्रयास करें या ऑफ़लाइन मोड पर स्विच करें/24,이미지가 있는 서버에 연결하지 못했습니다!/다시 연결을 시도하거나 오프라인 모드로 전환하세요/24,画像のあるサーバーに接続できませんでした!/もう一度接続を試みるか、オフライン モードに切り替えてください/24
90,Try to connect/16,Подключиться/16,Bağlanmayı dene/15,Kết nối lại/16,Intenta conectar/16,Tente conectar/16,Сonnetterti/16,Sambungkan/16,Connecter/18,Verbinden/16,حاول الاتصال/16,尝试连接/16,पुन: प्रयास करें/16,연결하십시오/16,接続してみる/16
91,Offline/18,Оффлайн/18,Çevrimdışı/18,Ngoại tuyến/18,Offline/18,Offline/18,Offline/18,Luring/18,Hors ligne/18,Offline/18,دون اتصال/18,离线/18,ऑफ़लाइन/18,오프라인/18,オフライン/18
92,OPEN ALL/16,ОТКРЫТЬ ВСЁ/15,HEPSİNİ AÇ/16,MỞ TẤT CẢ/16,ABRIR TODO/16,ABRA TUDO/16,APRI TUTTO/16,BUKA SEMUA/16,OUVRIR TOUS/16,ALLE ÖFFNEN/16,افتح كل/16,全部打开/16,सभी को खोलें/16,모두 열기/16,すべて開く/16
93,Search,Поиск,Ara,Tìm kiếm,Buscar,Procurar,Cercare,Mencari,Chercher,Suchen,يبحث,搜索,खोज,검색,検索
94,Animals/14,Животные/14,Hayvanlar/14,Động vật/14,Animales/14,Animais/14,Animali/14,Hewan/14,Animaux/14,Tiere/14,الحيوانات/14,动物/14,जानवर/14,동물/14,動物/14
95,Nature/14,Природа/14,Nature/14,Thiên nhiên/14,Naturaleza/14,Natureza/14,Natura/14,Alam/14,Nature/14,Natur/14,الطبيعة/14,自然/14,प्रकृति/14,네이처/14,自然/14
96,Flowers/14,Цветы/14,Çiçekler/14,Hoa/14,Flores/14,Flores/14,Fiori/14,Bunga/14,Fleurs/14,Blumen/14,الزهور/14,花/14,फूल/14,꽃/14,花/14
97,Horses/14,Лошади/14,Atlar/14,Ngựa/14,Caballos/14,Cavalos/14,Cavalli/14,Kuda/14,Chevaux/14,Pferde/14,الخيول/14,马/14,घोड़े/14,말/14,馬/14
98,Journey/14,Путешествие/14,Yolculuk/14,Hành trình/14,Viaje/14,Viagem/14,Viaggio/14,Perjalanan/14,Voyage/14,Reise/14,الرحلة/14,旅程/14,यात्रा/14,여행/14,ジャーニー/14
99,Cats/14,Кошки/14,Kediler/14,Mèo/14,Gatos/14,Gatos/14,Gatti/14,Kucing/14,Chats/14,Katzen/14,القطط/14,猫/14,बिल्लियाँ/14,고양이/14,猫/14
100,Cars/14,Автомобили/14,Arabalar/14,Ô tô/14,Coches/14,Carros/14,Automobili/14,Mobil/14,Voitures/14,Autos/14,السيارات/14,汽车/14,कारें/14,자동차/14,車/14
101,Motorcycles/14,Мотоциклы/14,Motosikletler/14,Xe máy/14,Motocicletas/14,Motos/14,Motocicli/14,Sepeda Motor/14,Motos/14,Motorräder/14,الدراجات النارية/14,摩托车/14,मोटरसाइकिल/14,오토바이/14,オートバイ/14
102,Dogs/14,Собаки/14,Köpekler/14,Chó/14,Perros/14,Cães/14,Cani/14,Anjing/14,Chiens/14,Hunde/14,الكلاب/14,狗/14,कुत्ते/14,개/14,犬/14
103,Aquarium/14,Аквариум/14,Akvaryum/14,Thủy cung/14,Acuario/14,Aquário/14,Acquario/14,Akuarium/14,Aquariophilie/14,Aquarium/14,حوض السمك/14,水族馆/14,एक्वेरियम/14,수족관/14,水族館/14
104,Railway/14,Поезда/14,Demiryolu/14,Đường sắt/14,Ferroviario/14,Ferrovia/14,Ferrovia/14,Kereta Api/14,Chemin de fer/14,Eisenbahn/14,السكك الحديدية/14,铁路/14,रेलवे/14,철도/14,鉄道/14
105,Aircraft/14,Самолеты/14,Uçak/14,Máy bay/14,Aeronaves/14,Aeronave/14,Aereo/14,Pesawat/14,Avion/14,Flugzeuge/14,طائرة/14,飞机/14,विमान/14,항공기/14,航空機/14
106,Waterfalls/14,Водопады/14,Şelaleler/14,Thác nước/14,Cascadas/14,Cachoeiras/14,Cascate/14,Air terjun/14,Cascades/14,Wasserfälle/14,الشلالات/14,瀑布/14,झरने/14,폭포/14,滝/14
107,Birds/14,Птицы/14,Kuşlar/14,Chim/14,Aves/14,Aves/14,Uccelli/14,Burung/14,Oiseaux/14,Vögel/14,الطيور/14,鸟/14,पक्षी/14,새/14,鳥/14
108,Ships/14,Корабли/14,Gemiler/14,Tàu/14,Barcos/14,Navios/14,Navi/14,Kapal/14,Navires/14,Schiffe/14,السفن/14,船/14,जहाज/14,선박/14,船/14
109,Abstraction/14,Абстракция/14,Soyutlama/14,Trừu tượng hóa/14,Abstracción/14,Abstração/14,Astrazione/14,Abstraksi/14,Abstraction/14,Abstraktion/14,التجريد/14,抽象化/14,अमूर्तन/14,추상화/14,抽象化/14
110,Music/14,Музыка/14,Müzik/14,Âm nhạc/14,Música/14,Música/14,Musica/14,Musik/14,Musique/14,Musik/14,الموسيقى/14,音乐/14,संगीत/14,음악/14,音楽/14
111,Paints/14,Краски/14,Boyalar/14,Sơn/14,Pinturas/14,Tintas/14,Vernici/14,Cat/14,Peintures/14,Farben/14,الدهانات/14,油漆/14,पेंट/14,페인트/14,ペイント/14
112,Architecture/14,Архитектура/14,Mimarlık/14,Kiến trúc/14,Arquitectura/14,Arquitetura/14,Architettura/14,Arsitektur/14,Architecture/14,Architektur/14,العمارة/14,建筑/14,वास्तुकला/14,건축/14,アーキテクチャ/14
113,Space/14,Космос/14,Uzay/14,Không gian/14,Espacio/14,Espaço/14,Spazio/14,Ruang/14,Espace/14,Raum/14,فضاء/14,空间/14,अंतरिक्ष/14,우주/14,スペース/14
114,Interior/14,Интерьер/14,İç/14,Nội thất/14,Interiores/14,Interior/14,Interno/14,Interior/14,Intérieur/14,Innenraum/14,الداخلية/14,内部/14,आंतरिक/14,인테리어/14,インテリア/14
115,Island/14,Остров/14,Ada/14,Đảo/14,Isla/14,Ilha/14,Isola/14,Pulau/14,Île/14,Insel/14,جزيرة/14,岛/14,द्वीप/14,섬/14,島/14
116,Desert/14,Пустыня/14,Çöl/14,Sa mạc/14,Desierto/14,Deserto/14,Deserto/14,Gurun/14,Désert/14,Wüste/14,صحراء/14,沙漠/14,रेगिस्तान/14,사막/14,砂漠/14
117,Ocean/14,Океан/14,Okyanus/14,Đại dương/14,Océano/14,Oceano/14,Oceano/14,Laut/14,Océan/14,Ozean/14,المحيط/14,海洋/14,महासागर/14,바다/14,海洋/14
118,White/14,Белый/14,Beyaz/14,Trắng/14,Blanco/14,Branco/14,Bianco/14,Putih/14,Blanc/14,Weiß/14,أبيض/14,白/14,सफेद/14,흰색/14,ホワイト/14
119,Forest/14,Лес/14,Orman/14,Rừng/14,Bosque/14,Floresta/14,Foresta/14,Hutan/14,Forêt/14,Wald/14,غابة/14,森林/14,जंगल/14,숲/14,フォレスト/14
120,Pink/14,Розовый/14,Pembe/14,Màu hồng/14,Rosa/14,Rosa/14,Rosa/14,Merah Muda/14,Rose/14,Rosa/14,الوردي/14,粉红色/14,गुलाबी/14,핑크/14,ピンク/14
121,Red/14,Красный/14,Kırmızı/14,Đỏ/14,Rojo/14,Vermelho/14,Rosso/14,Merah/14,Rouge/14,Rot/14,الأحمر/14,红色/14,लाल/14,빨간색/14,赤/14
122,Mountains/14,Горы/14,Dağlar/14,Núi/14,Montañas/14,Montanhas/14,Montagne/14,Pegunungan/14,Montagnes/14,Berge/14,الجبال/14,山/14,पहाड़/14,산악/14,山/14
123,Orange/14,Оранжевый/14,Turuncu/14,Orange/14,Naranja/14,Laranja/14,Arancione/14,Oranye/14,Orange/14,Orange/14,برتقالي/14,橙色/14,नारंगी/14,오렌지/14,オレンジ/14
124,Sport/14,Спорт/14,Spor/14,Thể thao/14,Deporte/14,Esporte/14,Sportivo/14,Olahraga/14,Sports/14,Sport/14,الرياضة/14,运动/14,खेल/14,스포츠/14,スポーツ/14
125,Sky/14,Небо/14,Gökyüzü/14,Bầu trời/14,Cielo/14,Céu/14,Cielo/14,Langit/14,Ciel/14,Himmel/14,السماء/14,天空/14,आकाश/14,하늘/14,スカイ/14
126,Yellow/14,Желтый/14,Sarı/14,Vàng/14,Amarillo/14,Amarelo/14,Giallo/14,Kuning/14,Jaune/14,Gelb/14,أصفر/14,黄色/14,पीला/14,노란색/14,黄色/14
127,City/14,Город/14,Şehir/14,Thành phố/14,Ciudad/14,Cidade/14,Città/14,Kota/14,Ville/14,Stadt/14,المدينة/14,城市/14,शहर/14,도시/14,市/14
128,Green/14,Зеленый/14,Yeşil/14,Màu xanh lá cây/14,Verde/14,Verde/14,Verde/14,Hijau/14,Vert/14,Grün/14,الأخضر/14,绿色/14,हरा/14,녹색/14,緑/14
129,Blue/14,Синий/14,Mavi/14,Màu xanh/14,Azul/14,Azul/14,Blu/14,Biru/14,Bleu/14,Blau/14,الأزرق/14,蓝色/14,नीला/14,파란색/14,青/14
130,Graffiti/14,Граффити/14,Grafiti/14,Graffiti/14,Grafiti/14,Grafite/14,Graffiti/14,Grafiti/14,Graffitis/14,Graffiti/14,الكتابة على الجدران/14,涂鸦/14,भित्तिचित्र/14,낙서/14,グラフィティ/14
131,Purple/14,Фиолетовый/14,Mor/14,Màu tím/14,Púrpura/14,Roxo/14,Viola/14,Ungu/14,Violet/14,Lila/14,أرجواني/14,紫色/14,बैंगनी/14,자주색/14,紫/14
132,Butterflies/14,Бабочки/14,Kelebekler/14,Bướm/14,Mariposas/14,Borboletas/14,Farfalle/14,Kupu-kupu/14,Papillons/14,Schmetterlinge/14,الفراشات/14,蝴蝶/14,तितलियों/14,나비/14,蝶/14
133,Sweets/14,Сладости/14,Tatlılar/14,Đồ ngọt/14,Dulces/14,Doces/14,Dolci/14,Permen/14,Bonbons/14,Süßigkeiten/14,الحلويات/14,糖/14,मिठाई/14,과자/14,お菓子/14
134,Dark/14,Черный/14,Karanlık/14,Bóng tối/14,Oscuro/14,Escuro/14,Scuro/14,Gelap/14,Sombre/14,Dunkel/14,الظلام/14,黑暗/14,अंधेरा/14,다크/14,ダーク/14
135,Rodents/14,Грызуны/14,Kemirgenler/14,Loài gặm nhấm/14,Roedores/14,Roedores/14,Roditori/14,Hewan pengerat/14,Rongeurs/14,Nagetiere/14,القوارض/14,啮齿动物/14,कृन्तकों/14,설치류/14,げっ歯類/14
136,Gold/14,Золотой/14,Altın/14,Vàng/14,Oro/14,Ouro/14,Oro/14,Emas/14,Or/14,Gold/14,الذهب/14,金/14,सोना/14,금/14,ゴールド/14
137,Bridges/14,Мосты/14,Köprüler/14,Cầu/14,Puentes/14,Pontes/14,Ponti/14,Jembatan/14,Ponts/14,Brücken/14,الجسور/14,桥梁/14,पुल/14,교량/14,橋/14
138,Fruits/14,Фрукты/14,Meyveler/14,Trái cây/14,Frutas/14,Frutas/14,Frutta/14,Buah/14,Fruits/14,Früchte/14,الفواكه/14,水果/14,फल/14,과일/14,果物/14
139,Snow/14,Снег/14,Kar/14,Tuyết/14,Nieve/14,Neve/14,Neve/14,Salju/14,Neige/14,Schnee/14,الثلج/14,雪/14,हिमपात/14,스노/14,雪/14
140,Dance/14,Танцы/14,Dans/14,Khiêu vũ/14,Baile/14,Dança/14,Danza/14,Tari/14,Danse/14,Tanz/14,الرقص/14,舞蹈/14,नृत्य/14,댄스/14,ダンス/14
141,Offline/14,Оффлайн/14,Çevrimdışı/14,Ngoại tuyến/14,Offline/14,Offline/14,Offline/14,Luring/14,Hors ligne/14,Offline/14,دون اتصال/14,离线/14,ऑफ़लाइन/14,오프라인/14,オフライン/14
142,VIP SEARCH/Didn't find a suitable category?/Use VIP image search and other benefits with VIP status!/20,VIP-ПОИСК/Не нашли подходящую категорию?/Используйте VIP-поиск и другие преимущества с VIP-статусом!/20,VIP ARAMA/Uygun bir kategori bulamadınız mı?/VIP görsel aramayı ve diğer avantajları VIP statüsüyle kullanın!/20,VIP TÌM KIẾM/Không tìm thấy một thể loại phù hợp?/Sử dụng tìm kiếm hình ảnh VIP và các lợi ích khác với trạng thái VIP!/20,BÚSQUEDA VIP/¿No encontró una categoría adecuada?/¡Use la búsqueda de imágenes VIP y otros beneficios con el estado VIP!/20,PESQUISA VIP/Não encontrou uma categoria adequada?/Use a pesquisa de imagem VIP e outros benefícios com status VIP!/20,RICERCA VIP/Non hai trovato una categoria adatta?/Usa la ricerca di immagini VIP e altri vantaggi con lo stato VIP!/20,PENCARIAN VIP/Tidak menemukan kategori yang cocok?/Gunakan pencarian gambar VIP dan manfaat lainnya dengan status VIP!/20,RECHERCHE VIP/Vous n'avez pas trouvé de catégorie appropriée ?/Utilisez la recherche d'images VIP et d'autres avantages avec le statut VIP !/20,VIP-SUCHE/Keine passende Kategorie gefunden?/VIP-Bildersuche und weitere Vorteile mit VIP-Status nutzen!/20,بحث VIP / لم تجد الفئة المناسبة؟ / استخدم البحث عن الصور VIP ومزايا أخرى مع وضع VIP! /20,VIP搜索/没有找到合适的类别？/使用VIP图像搜索和其他带有VIP状态的好处！/20,वीआईपी खोज/उपयुक्त श्रेणी नहीं मिली?/वीआईपी छवि खोज और वीआईपी स्थिति के साथ अन्य लाभों का उपयोग करें!/20,VIP 검색/적합한 카테고리를 찾지 못하셨나요?/VIP 상태로 VIP 이미지 검색 및 기타 혜택을 이용하세요!/20,VIP検索/適切なカテゴリが見つかりませんでしたか?/VIP画像検索などVIP特典を利用しよう!/20
143,VIP STATUS/20,VIP-СТАТУС/20,VİP STATÜSÜ/20,TRẠNG THÁI VIP/20,ESTADO VIP/20,STATUS VIP/20,STATO VIP/20,STATUS VIP/20,STATUT VIP/20,VIP-STATUS/20,حالة VIP/20,VIP状态/20,वीआईपी स्थिति/20,VIP 상태/20,VIPステータス/20
144,Take advantage of premium status:/14,Воспользуйтесь преимуществами премиального статуса:/14,Premium statüsünden yararlanın:/14,Tận dụng trạng thái cao cấp:/14,Aproveche el estado de la prima:/14,Tire proveito do status premium:/14,Approfitta dello stato premium:/14,Manfaatkan status premium:/14,Profitez du statut premium :/14,Profitieren Sie vom Premium-Status:/14,استفد من حالة قسط:/14,利用高级状态：/14,प्रीमियम स्थिति का लाभ उठाएं:/14,프리미엄 상태를 활용하십시오 :/14,プレミアムステータスを活用してください：/14
145,VIP DIFFICULTY/Want to increase the difficulty?/Get this and other benefits with VIP status!/20,VIP-СЛОЖНОСТЬ/Хотите повысить сложность?/Получите это и другие преимущества с VIP-статусом!/20,VIP ZORLUK/Zorluğu artırmak ister misiniz?/Bunu ve daha fazlasını VIP statüsüyle alın!/20,VIP KHÓ KHĂN/muốn tăng độ khó?/Nhận được điều này và các lợi ích khác với trạng thái VIP!/20,DIFICULTAD VIP/¿Quieres aumentar la dificultad?/¡Obtenga este y otros beneficios con el estado VIP!/20,DIFICULDADE VIP/deseja aumentar a dificuldade?/Obter este e outros benefícios com o status VIP!/20,DIFFICOLTÀ VIP/Vuoi aumentare la difficoltà?/Ottieni questo e altri vantaggi con lo stato VIP!/20,KESULITAN VIP/Ingin menambah kesulitan?/Dapatkan ini dan manfaat lainnya dengan status VIP!/20,DIFFICULTÉ VIP/Vous voulez augmenter la difficulté ?/Obtenez ceci et d'autres avantages avec le statut VIP !/20,VIP-SCHWIERIGKEIT/Möchten Sie die Schwierigkeit erhöhen?/Holen Sie sich diese und andere Vorteile mit dem VIP-Status!/20,صعوبة VIP/تريد زيادة الصعوبة؟/الحصول على هذا وفوائد أخرى مع حالة VIP!/20,VIP难度/想要增加难度吗？/以VIP状态获得此和其他好处！/20,वीआईपी कठिनाई/कठिनाई बढ़ाना चाहते हैं?/इसे और वीआईपी स्थिति के साथ अन्य लाभ प्राप्त करें!/20,VIP 난이도/난이도를 높이고 싶습니까?/VIP 상태로 이것과 다른 이점을 얻으십시오!/20,VIP 難易度/難易度を上げてみませんか?/VIP ステータスでこれと他の特典を手に入れましょう!/20
146,VIP BACKGROUND/Want to set a premium background?/Get this and other benefits with VIP status!/20,VIP-ФОН/Хотите установить премиальный фон?/Получите это и другие преимущества с VIP-статусом!/20,VIP ARKA PLAN/Premium bir arka plan ayarlamak ister misiniz?/VIP statüsüyle bunu ve diğer avantajları elde edin!/20,VIP HÌNH NỀN/Bạn muốn thiết lập hình nền cao cấp?/Nhận lợi ích này và các lợi ích khác với trạng thái VIP!/20,FONDO VIP/¿Quieres establecer un fondo premium?/¡Obtenga este y otros beneficios con el estado VIP!/20,FUNDO VIP/deseja definir um fundo premium?/Obter este e outros benefícios com o status VIP!/20,SFONDO VIP/Vuoi impostare uno sfondo premium?/Ottieni questo e altri vantaggi con lo status VIP!/20,LATAR BELAKANG VIP/Ingin menyetel latar belakang premium?/Dapatkan ini dan manfaat lainnya dengan status VIP!/20,ARRIÈRE-PLAN VIP/Vous voulez définir un arrière-plan premium ?/Obtenez ceci et d'autres avantages avec le statut VIP !/20,VIP-HINTERGRUND/Möchten Sie einen Premium-Hintergrund festlegen?/Holen Sie sich diese und andere Vorteile mit dem VIP-Status!/20,خلفية VIP/تريد تعيين خلفية متميزة؟/الحصول على هذا وفوائد أخرى مع حالة VIP!/20,VIP背景/想要设置高级背景吗？/以VIP状态获得此和其他好处！/20,वीआईपी पृष्ठभूमि/एक प्रीमियम पृष्ठभूमि सेट करना चाहते हैं?/इसे और वीआईपी स्थिति के साथ अन्य लाभ प्राप्त करें!/20,VIP 배경/프리미엄 배경을 설정하고 싶습니까?/VIP 상태 로이 혜택과 기타 이점을 얻으십시오!/20,VIP 背景/プレミアム背景を設定したいですか?/VIP ステータスでこれと他の特典を手に入れよう!/20
147,Try VIP/18,Пробовать/16,VIP deneyin/16,Thử VIP/18,Prueba VIP/16,Tente VIP/16,Prova VIP/16,Coba VIP/16,Essayez VIP/14,Versuchen VIP/14,جرب VIP/18,尝试VIP/18,वीआईपी का प्रयास करें/18,VIP 시도/18,VIPを試す/18
148,Enter your search keywords:/24,Введите поисковый запрос:/24,Arama anahtar kelimelerinizi girin:/24,Nhập từ khóa tìm kiếm của bạn:/24,Ingrese sus palabras clave de búsqueda:/24,Digite suas palavras -chave de pesquisa:/24,Immettere le parole chiave di ricerca:/24,Masukkan kata kunci pencarian Anda:/24,Entrez vos mots clés de recherche :/24,Geben Sie Ihre Suchbegriffe ein:/24,أدخل كلمات البحث الخاصة بك:/24,输入您的搜索关键字：/24,अपने खोज कीवर्ड दर्ज करें:/24,검색 키워드를 입력하십시오 :/24,検索キーワードを入力:/24
149,( Only english words and numbers are allowed )/16,( Допустимы только английские слова и цифры )/16,( Yalnızca İngilizce kelimelere ve sayılara izin verilir )/16,(Chỉ cho phép các từ và số tiếng Anh được cho phép)/16,(Solo se permiten palabras y números en inglés)/16,(Apenas palavras e números em inglês são permitidos)/16,(Sono consentite solo parole e numeri inglesi)/16,(Hanya kata dan angka dalam bahasa Inggris yang diperbolehkan)/16,(Seuls les mots et les chiffres en anglais sont autorisés)/16,(Nur englische Wörter und Zahlen sind erlaubt)/16,(فقط الكلمات والأرقام الإنجليزية مسموح بها)/16,（仅允许英语单词和数字）/16,(केवल अंग्रेजी शब्दों और संख्याओं की अनुमति है)/16,(영어 단어와 숫자 만 허용됩니다)/16,（英語の単語と番号のみが許可されています）/16
150,SEARCH/18,НАЙТИ/18,ARA/18,TÌM KIẾM/18,BÚSQUEDA/16,PESQUISAR/16,CERCA/18,CARI/18,CHERCHER/18,SUCHE/18,البحث/18,搜索/18,खोज/18,검색/18,検索/18
151,DAILY GIFT/20,ЕЖЕДНЕВНЫЙ ПОДАРОК/20,GÜNLÜK HEDİYE/20,QUÀ TẶNG HÀNG NGÀY/20,REGALO DIARIO/20,PRESENTE DIÁRIO/20,REGALO GIORNALIERO/20,HADIAH HARIAN/20,CADEAU QUOTIDIEN/20,TÄGLICHES GESCHENK/20,هدية يومية/20,每日礼物/20,दैनिक उपहार/20,매일 선물/20,毎日のギフト/20
152,SUBSCRIPTION/10,ПОДПИСКА/10,ABONELİK/10,THUÊ BAO/10,SUSCRIPCIÓN/10,SUBSCRIÇÃO/10,ABBONAMENTO/10,BERLANGGANAN/10,ABONNEMENT/10,ABONNEMENT/10,الاشتراك/10,订阅/10,सब्सक्रिप्शन/10,예약 구독/10,サブスクリプション/10
